Runtimes (seconds)
k	runtime_seconds
2	65.513
3	112.277
4	105.512
5	110.163
6	108.801
7	113.468
8	111.176
9	109.458
10	109.316
11	107.897
12	108.682

Average distance to centroid
k	avg_distance
2	1.024520
3	0.981656
4	0.938152
5	0.893006
6	0.858193
7	0.798106
8	0.756767
9	0.726214
10	0.697245
11	0.675176
12	0.651296

Anomaly threshold and fraction
k	threshold	fraction_percent
2	16.386345	0.00
3	16.127876	0.00
60130631303	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	1	23.564241	0.0074768	-0.22537	4.9292
60130995085	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv	2	22.667290	0.013733	0.23483	0.068359
42950982742	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	22.274687	0.2713	-0.030212	0.057373
42950880300	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	21.790967	0.26794	0.0090027	0.043945
60130483234	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	0	21.780009	0.050201	-0.20752	0.046387
42950982744	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	21.251441	0.26199	-0.0080872	0.058594
42950902569	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	21.179220	0.26123	0.0045776	0.041504
42950880301	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	20.963175	0.25742	0.02121	0.045166
60130580611	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	1	20.756439	-0.011749	-0.19684	4.9109
60130631299	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	2	20.668357	0.01297	0.21561	4.939
60130580619	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	1	20.602098	-0.016632	-0.1947	4.906
60130548035	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	2	20.577526	0.036316	0.21408	0.037842
42950933752	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	20.527330	0.24796	-0.045319	0.047607
42950911483	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	20.466808	0.24307	-0.058441	0.063477
42950902570	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	0	20.360404	0.25162	0.011292	0.036621

Top 25 outliers for k=4
point_id	source_file	prediction	distance	sensor_1	sensor_2	sensor_3
60130631294	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	1	37.982152	0.0028992	-0.36285	4.928
60130631298	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	37.604890	0.015717	0.37598	4.9414
60130580608	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	28.919194	0.046387	0.29297	4.9316
42950620136	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	3	26.869923	0.32578	-0.042419	0.056152
60130580607	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	25.847693	0.050812	0.26337	4.9268
42950620137	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	3	24.780488	0.30136	-0.042725	0.053711
60130631302	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	1	24.390747	-0.0028992	-0.23254	4.9304
42950620135	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	3	24.266745	0.29816	-0.033112	0.048828
